STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24
215;20150121;101;31;33;40;6;20;1;70;12;-2;-12;7;9;13;-22;24;2;2;251;0;0;0;1;10125;10154;24;10110;5;23;2;61;8;6;83;96;2;77;15;3
215;20150122;56;36;38;50;4;20;19;90;7;-10;-32;24;4;18;-43;24;2;2;130;0;-1;-1;8;10202;10247;24;10155;1;35;4;59;16;6;84;90;4;77;15;1
215;20150123;175;21;30;70;23;0;5;120;24;-27;-57;8;3;11;-72;12;32;37;375;0;0;0;1;10254;10270;9;10211;24;2;12;57;1;5;93;98;6;84;10;4
215;20150124;289;31;58;80;1;30;21;130;12;38;-3;1;67;12;-6;6;46;53;427;47;66;35;4;10216;10281;24;10160;6;20;4;71;12;5;81;96;7;69;12;5
215;20150125;247;31;35;50;13;20;4;80;12;54;27;4;71;14;9;6;0;0;205;0;-1;-1;8;10277;10297;8;10242;24;58;7;67;16;7;88;93;10;79;16;3
215;20150126;286;47;59;70;10;40;1;120;11;70;50;24;83;11;39;24;7;8;163;35;14;6;12;10203;10235;1;10176;12;24;10;70;14;6;86;97;12;74;14;2
215;20150127;286;38;44;60;13;20;19;110;13;58;21;19;79;13;12;24;39;44;404;13;4;2;22;10227;10241;11;10188;24;42;21;70;24;6;86;96;22;78;1;5
215;20150128;242;79;94;120;11;50;1;300;15;57;35;15;78;15;33;24;0;0;55;43;81;31;13;10027;10179;1;9945;14;42;13;77;22;7;80;95;9;60;22;1
215;20150129;256;64;70;110;3;10;21;190;3;36;3;22;59;12;2;24;13;15;211;49;117;40;20;9817;9939;1;9723;21;22;20;75;10;7;77;96;20;65;1;3
215;20150130;257;34;39;70;20;10;4;110;20;26;-6;5;49;23;-9;6;31;35;393;31;23;7;1;9761;9772;11;9732;1;59;17;80;12;6;84;97;2;67;12;5
215;20150131;234;25;28;40;1;20;8;80;9;24;-5;21;54;12;-16;24;25;28;339;7;7;3;24;9815;9855;23;9774;1;40;23;80;12;5;87;97;20;68;12;4
225;20150101;209;139;139;180;20;110;4;230;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150102;263;138;153;190;2;130;7;240;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150103;264;77;99;140;8;70;15;200;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150104;288;70;79;100;1;50;14;140;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150105;212;65;74;100;1;50;19;130;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150106;205;34;59;90;19;30;4;130;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150107;212;93;101;140;24;60;1;180;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150108;233;107;118;160;4;80;15;210;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150109;230;148;152;200;6;100;2;270;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150110;253;151;170;200;10;140;13;270;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150111;269;159;164;180;6;140;20;240;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150112;221;160;162;200;14;140;1;250;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150113;224;109;115;180;3;50;14;220;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150114;229;107;124;160;5;90;22;220;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150115;204;153;158;200;7;130;2;280;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150116;233;96;108;170;1;60;16;220;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150117;227;92;106;160;20;80;1;200;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150118;191;47;53;120;1;0;21;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150119;180;20;23;30;2;10;8;40;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150120;160;37;38;60;20;20;4;80;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150121;108;41;44;60;17;30;7;80;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150122;66;66;69;90;3;50;16;120;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150123;156;35;42;120;24;10;6;150;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150124;298;56;98;140;6;70;20;170;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150125;252;48;56;80;16;40;7;90;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150126;284;71;93;120;17;70;1;160;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150127;289;60;71;100;2;40;18;130;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
